ch1	  00:00:00		# 00:00:00
ch2 1:06:16:00  	# 66:16:00
ch3 1:30:57:00  	# 90:57:00
ch4 2:00:04:00  	# 120:04:00
ch5 2:33:57:00  	# 153:57:00
ch6 3:13:52:00  	# 193:52:00
ch7 3:51:54:00  	# 231:54:00
ch8 4:07:16:00 		# 247:16:00
ch9 4:33:11:00		# 273:11:00
ch10 4:46:36:00		# 286:36:00
ch11 5:07:16:00		# 307:16:00
ch12 5:27:06:00		# 327:06:00
ch13 5:52:37:00		# 352:37:00
ch14 6:26:33:00 	# 386:33:00
ch15 6:52:56:00 	# 412:56:00
ch16 7:25:21:00 	# 445:21:00
ch17 7:48:01:00		# 468:01:00
ch18 9:09:26:00		# 549:26:00
ch19 10:19:12:00	# 619:12:00
ch20 10:48:55:00	# 648:55:00
ch21 11:32:16:00	# 692:16:00
ch22 12:17:19:00	# 737:19:00
ch23 12:42:43:00	# 762:43:00
ch24 13:15:17:00	# 795:17:00
ch25 14:17:03:00	# 857:03:00
ch26 14:50:01:00	# 890:01:00
ch27 15:10:27:00	# 910:27:00
ch28 15:34:46:00	# 934:46:00
ch29 16:00:07:00	# 960:07:00
ch30 16:25:35:00	# 985:35:00
ch31 17:07:18:00	# 1027:18:00
ch32 17:54:05:00	# 1074:05:00
ch33 18:33:25:00	# 1113:25:00
ch34 19:21:03:00	# 1161:03:00
ch35 19:42:15:00	# 1182:15:00
ch36 20:16:45:00	# 1216:45:00
ch37 20:43:58:00	# 1243:58:00
ch38 21:23:19:00	# 1283:19:00
ch39 22:18:52:00	# 1338:52:00
ch40 22:58:14:00	# 1378:14:00
ch41 23:33:18:00	# 1413:18:00
ch42 24:33:06:00	# 1473:06:00

